TLA;SPACE;SPEED;GEAR;RPM;THROTTLE;BRAKE;DRS;TIME_0;TIME
HAM;0;296;8;10621;100;0;12;0;47288.8
HAM;3.94899;296.439;8;10634;100;0;12;0.0479927;47288.9
HAM;7.90383;296.877;8;10647;100;0;12;0.0959854;47288.9
HAM;11.8645;297.316;8;10660;100;0;12;0.143978;47289
HAM;15.8311;297.755;8;10673;100;0;12;0.191971;47289
HAM;19.8034;298.194;8;10686;100;0;12;0.239964;47289.1
HAM;23.7815;298.61;8;10699;100;0;12;0.287956;47289.1
HAM;27.7652;299.027;8;10712;100;0;12;0.335949;47289.2
HAM;31.7544;299.443;8;10726;100;0;12;0.383942;47289.2
HAM;35.7492;299.859;8;10739;100;0;12;0.431935;47289.3
HAM;39.7495;300.276;8;10753;100;0;12;0.479928;47289.3
HAM;43.7554;300.706;8;10775;100;0;12;0.527921;47289.4
HAM;47.7671;301.137;8;10798;100;0;12;0.575914;47289.4
HAM;51.7846;301.568;8;10821;100;0;12;0.623907;47289.5
HAM;55.8077;301.998;8;10844;100;0;12;0.6719;47289.5
HAM;59.8367;302.429;8;10867;100;0;12;0.719893;47289.5
HAM;63.8713;302.851;8;10873;100;0;12;0.767885;47289.6
HAM;67.9115;303.274;8;10880;100;0;12;0.815878;47289.6
HAM;71.9574;303.696;8;10886;100;0;12;0.863871;47289.7
HAM;76.0089;304.118;8;10893;100;0;12;0.911864;47289.7
HAM;80.066;304.541;8;10900;100;0;12;0.959857;47289.8
HAM;84.1286;304.939;8;10906;100;0;12;1.00785;47289.8
HAM;88.1965;305.338;8;10913;100;0;12;1.05584;47289.9
HAM;92.2697;305.736;8;10919;100;0;12;1.10384;47289.9
HAM;96.3482;306.135;8;10926;100;0;12;1.15183;47290
HAM;100.432;306.533;8;10933;100;0;12;1.19982;47290
HAM;103.856;306.841;8;10949;100;0;12;1.24001;47290.1
HAM;107.284;307.149;8;10965;100;0;12;1.28021;47290.1
HAM;110.715;307.457;8;10981;100;0;12;1.3204;47290.1
HAM;114.149;307.764;8;10997;100;0;12;1.3606;47290.2
HAM;117.587;308.072;8;11014;100;0;12;1.40079;47290.2
HAM;121.696;308.404;8;11021;100;0;12;1.44878;47290.3
HAM;125.81;308.735;8;11028;100;0;12;1.49678;47290.3
HAM;129.928;309.067;8;11036;100;0;12;1.54477;47290.4
HAM;134.051;309.398;8;11043;100;0;12;1.59276;47290.4
HAM;138.178;309.73;8;11051;100;0;12;1.64075;47290.5
HAM;142.309;310.02;8;11072;100;0;12;1.68875;47290.5
HAM;146.444;310.311;8;11093;100;0;12;1.73674;47290.6
HAM;150.582;310.601;8;11114;100;0;12;1.78473;47290.6
HAM;154.725;310.891;8;11135;100;0;12;1.83273;47290.7
HAM;158.872;311.182;8;11156;100;0;12;1.88072;47290.7
HAM;163.022;311.431;8;11151;100;0;12;1.92871;47290.8
HAM;167.175;311.681;8;11147;100;0;12;1.9767;47290.8
HAM;171.332;311.931;8;11143;100;0;12;2.0247;47290.9
HAM;175.492;312.181;8;11139;100;0;12;2.07269;47290.9
HAM;179.656;312.43;8;11135;100;0;12;2.12068;47290.9
