TLA;SPACE;SPEED;GEAR;RPM;THROTTLE;BRAKE;DRS;TIME_0;TIME
LEC;-24;292;7;10736;100;0;12;0;47337.3
LEC;-20.1034;292.492;7;10696;100;0;12;0.048;47337.3
LEC;-16.2002;292.984;7;10656;100;0;12;0.096;47337.4
LEC;-12.2905;293.476;7;10616;100;0;12;0.144;47337.4
LEC;-8.37419;293.968;7;10576;100;0;12;0.192;47337.5
LEC;-4.45133;294.46;8;10537;100;0;12;0.24;47337.5
LEC;-0.52248;294.868;8;10566;100;0;12;0.288;47337.6
LEC;3.41181;295.276;8;10596;100;0;12;0.336;47337.6
LEC;7.35155;295.684;8;10625;100;0;12;0.384;47337.7
LEC;11.2967;296.092;8;10655;100;0;12;0.432;47337.7
LEC;15.2473;296.5;8;10685;100;0;12;0.48;47337.7
LEC;19.2034;296.904;8;10685;100;0;12;0.528;47337.8
LEC;23.1648;297.308;8;10686;100;0;12;0.576;47337.8
LEC;27.1316;297.712;8;10686;100;0;12;0.624;47337.9
LEC;31.1038;298.116;8;10687;100;0;12;0.672;47337.9
LEC;35.0813;298.52;8;10688;100;0;12;0.72;47338
LEC;39.0642;298.91;8;10704;100;0;12;0.768;47338
LEC;43.0523;299.3;8;10720;100;0;12;0.816;47338.1
LEC;47.0455;299.69;8;10736;100;0;12;0.864;47338.1
LEC;51.044;300.08;8;10752;100;0;12;0.912;47338.2
LEC;55.0477;300.47;8;10769;100;0;12;0.96;47338.2
LEC;59.0564;300.844;8;10776;100;0;12;1.008;47338.3
LEC;63.0702;301.218;8;10783;100;0;12;1.056;47338.3
LEC;67.0889;301.592;8;10791;100;0;12;1.104;47338.4
LEC;71.1126;301.966;8;10798;100;0;12;1.152;47338.4
LEC;75.1413;302.34;8;10806;100;0;12;1.2;47338.5
LEC;79.1749;302.692;8;10818;100;0;12;1.248;47338.5
LEC;83.2131;303.044;8;10830;100;0;12;1.296;47338.6
LEC;87.2561;303.396;8;10843;100;0;12;1.344;47338.6
LEC;91.3037;303.748;8;10855;100;0;12;1.392;47338.7
LEC;95.356;304.1;8;10868;100;0;12;1.44;47338.7
LEC;99.4129;304.428;8;10884;99;0;12;1.488;47338.8
LEC;103.474;304.756;8;10900;99;0;12;1.536;47338.8
LEC;107.54;305.084;8;10916;99;0;12;1.584;47338.9
LEC;111.61;305.412;8;10932;99;0;12;1.632;47338.9
LEC;115.684;305.74;8;10949;99;0;12;1.68;47338.9
LEC;119.763;306.042;8;10959;99;0;12;1.728;47339
LEC;123.845;306.344;8;10969;99;0;12;1.776;47339
LEC;127.932;306.646;8;10979;99;0;12;1.824;47339.1
LEC;132.022;306.948;8;10989;99;0;12;1.872;47339.1
LEC;136.117;307.25;8;11000;100;0;12;1.92;47339.2
LEC;140.216;307.526;8;11007;100;0;12;1.968;47339.2
LEC;144.318;307.802;8;11015;100;0;12;2.016;47339.3
LEC;148.424;308.078;8;11022;100;0;12;2.064;47339.3
LEC;152.533;308.354;8;11030;100;0;12;2.112;47339.4
LEC;156.646;308.63;8;11038;100;0;12;2.16;47339.4
LEC;160.763;308.876;8;11048;100;0;12;2.208;47339.5
LEC;164.883;309.122;8;11059;100;0;12;2.256;47339.5
LEC;169.006;309.368;8;11070;100;0;12;2.304;47339.6
LEC;173.133;309.614;8;11081;100;0;12;2.352;47339.6
LEC;177.263;309.86;8;11092;100;0;12;2.4;47339.7
LEC;181.396;310.08;8;11102;100;0;12;2.448;47339.7
LEC;185.531;310.3;8;11112;100;0;12;2.496;47339.8
LEC;189.67;310.52;8;11122;100;0;12;2.544;47339.8
LEC;193.812;310.74;8;11132;100;0;12;2.592;47339.9
LEC;197.957;310.96;8;11143;100;0;12;2.64;47339.9
LEC;202.104;311.154;8;11152;100;0;12;2.688;47340
LEC;206.254;311.348;8;11162;100;0;12;2.736;47340
LEC;210.407;311.542;8;11171;100;0;12;2.784;47340.1
LEC;214.562;311.736;8;11181;100;0;12;2.832;47340.1
LEC;218.72;311.93;8;11191;100;0;12;2.88;47340.1
LEC;222.88;312.098;8;11193;100;0;12;2.928;47340.2
LEC;227.042;312.266;8;11195;100;0;12;2.976;47340.2
LEC;231.207;312.434;8;11198;100;0;12;3.024;47340.3
LEC;235.374;312.602;8;11200;100;0;12;3.072;47340.3
LEC;239.543;312.77;8;11203;100;0;12;3.12;47340.4
LEC;243.714;312.914;8;11209;100;0;12;3.168;47340.4
LEC;247.887;313.058;8;11216;100;0;12;3.216;47340.5
LEC;252.062;313.202;8;11222;100;0;12;3.264;47340.5
LEC;256.239;313.346;8;11229;100;0;12;3.312;47340.6
LEC;260.418;313.49;8;11236;100;0;12;3.36;47340.6
LEC;264.582;313.614;8;11241;99;0;12;3.4078;47340.7
LEC;268.747;313.738;8;11246;99;0;12;3.4556;47340.7
LEC;272.913;313.862;8;11252;99;0;12;3.5034;47340.8
LEC;277.081;313.986;8;11257;99;0;12;3.5512;47340.8
LEC;281.251;314.11;8;11263;99;0;12;3.599;47340.9
LEC;285.44;314.214;8;11261;99;0;12;3.647;47340.9
LEC;289.63;314.318;8;11260;99;0;12;3.695;47341
LEC;293.822;314.422;8;11259;99;0;12;3.743;47341
LEC;298.015;314.526;8;11258;99;0;12;3.791;47341.1
LEC;302.209;314.63;8;11257;100;0;12;3.839;47341.1
LEC;306.405;314.718;8;11263;99;0;12;3.887;47341.2
