TLA;SPACE;SPEED;GEAR;RPM;THROTTLE;BRAKE;DRS;TIME_0;TIME
NOR;-18;296;8;10647;99;0;14;0;47312.6
NOR;-14.0511;296.429;8;10669;99;0;14;0.0479927;47312.6
NOR;-10.0964;296.858;8;10691;99;0;14;0.0959854;47312.7
NOR;-6.13605;297.288;8;10713;99;0;14;0.143978;47312.7
NOR;-2.16996;297.717;8;10735;99;0;14;0.191971;47312.8
NOR;1.80186;298.146;8;10758;99;0;14;0.239964;47312.8
NOR;5.77976;298.63;8;10770;99;0;14;0.287956;47312.9
NOR;9.76413;299.115;8;10782;99;0;14;0.335949;47312.9
NOR;13.7549;299.599;8;10794;99;0;14;0.383942;47313
NOR;17.7522;300.084;8;10806;99;0;14;0.431934;47313
NOR;21.756;300.568;8;10819;99;0;14;0.479927;47313.1
NOR;25.766;301.021;8;10828;99;0;14;0.52792;47313.1
NOR;29.782;301.474;8;10838;99;0;14;0.575912;47313.2
NOR;33.804;301.927;8;10847;99;0;14;0.623905;47313.2
NOR;37.8321;302.38;8;10857;99;0;14;0.671898;47313.3
NOR;41.8663;302.833;8;10867;99;0;14;0.719891;47313.3
NOR;45.9063;303.256;8;10888;99;0;14;0.767883;47313.4
NOR;49.9519;303.679;8;10910;99;0;14;0.815876;47313.4
NOR;54.0031;304.103;8;10931;99;0;14;0.863869;47313.5
NOR;58.06;304.526;8;10953;99;0;14;0.911861;47313.5
NOR;62.1226;304.949;8;10975;99;0;14;0.959854;47313.5
NOR;66.1907;305.345;8;10990;99;0;14;1.00785;47313.6
NOR;70.264;305.74;8;11005;99;0;14;1.05584;47313.6
NOR;74.3426;306.135;8;11020;99;0;14;1.10383;47313.7
NOR;78.4265;306.531;8;11035;99;0;14;1.15183;47313.7
NOR;82.5157;306.926;8;11050;99;0;14;1.19982;47313.8
NOR;86.6099;307.295;8;11067;99;0;14;1.24781;47313.8
NOR;90.709;307.663;8;11084;99;0;14;1.29581;47313.9
NOR;94.813;308.032;8;11101;99;0;14;1.3438;47313.9
NOR;98.9219;308.401;8;11118;99;0;14;1.39179;47314
NOR;103.036;308.769;8;11135;99;0;14;1.43979;47314
NOR;107.154;309.112;8;11142;99;0;14;1.48778;47314.1
NOR;111.277;309.455;8;11149;99;0;14;1.53577;47314.1
NOR;115.405;309.798;8;11157;99;0;14;1.58376;47314.2
NOR;119.538;310.141;8;11164;99;0;14;1.63176;47314.2
NOR;123.674;310.484;8;11172;99;0;14;1.67975;47314.3
NOR;127.816;310.803;8;11179;99;0;14;1.72774;47314.3
NOR;131.961;311.121;8;11187;99;0;14;1.77573;47314.4
NOR;136.111;311.439;8;11194;99;0;14;1.82373;47314.4
NOR;140.265;311.757;8;11202;99;0;14;1.87172;47314.5
NOR;144.423;312.075;8;11210;99;0;14;1.91971;47314.5
NOR;148.586;312.369;8;11224;99;0;14;1.9677;47314.6
NOR;152.752;312.663;8;11239;99;0;14;2.0157;47314.6
NOR;156.922;312.956;8;11253;99;0;14;2.06369;47314.7
NOR;161.096;313.25;8;11268;99;0;14;2.11168;47314.7
NOR;165.274;313.544;8;11283;99;0;14;2.15968;47314.7
NOR;169.456;313.814;8;11284;99;0;14;2.20767;47314.8
NOR;173.641;314.084;8;11286;99;0;14;2.25566;47314.8
NOR;177.83;314.354;8;11288;99;0;14;2.30365;47314.9
NOR;182.023;314.624;8;11290;99;0;14;2.35165;47314.9
NOR;186.219;314.895;8;11292;99;0;14;2.39964;47315
NOR;190.418;315.142;8;11309;99;0;14;2.44763;47315
NOR;194.621;315.388;8;11327;99;0;14;2.49563;47315.1
NOR;198.828;315.635;8;11345;99;0;14;2.54362;47315.1
NOR;203.037;315.882;8;11363;99;0;14;2.59161;47315.2
NOR;207.25;316.129;8;11381;99;0;14;2.63961;47315.2
NOR;211.466;316.354;8;11387;99;0;14;2.6876;47315.3
NOR;215.685;316.578;8;11394;99;0;14;2.73559;47315.3
NOR;219.907;316.802;8;11400;99;0;14;2.78358;47315.4
NOR;224.132;317.026;8;11407;99;0;14;2.83158;47315.4
NOR;228.36;317.251;8;11414;99;0;14;2.87957;47315.5
NOR;232.59;317.453;8;11423;99;0;14;2.92756;47315.5
NOR;236.824;317.655;8;11432;99;0;14;2.97556;47315.6
NOR;241.06;317.857;8;11441;99;0;14;3.02355;47315.6
NOR;245.299;318.059;8;11450;99;0;14;3.07154;47315.7
NOR;249.54;318.261;8;11460;99;0;14;3.11953;47315.7
NOR;253.784;318.442;8;11455;99;0;14;3.16753;47315.8
NOR;258.03;318.622;8;11450;99;0;14;3.21552;47315.8
NOR;262.279;318.803;8;11446;99;0;14;3.26351;47315.9
NOR;266.531;318.984;8;11441;99;0;14;3.3115;47315.9
NOR;270.784;319.164;8;11437;99;0;14;3.3595;47315.9
NOR;275.04;319.324;8;11445;99;0;14;3.40749;47316
NOR;279.298;319.484;8;11453;99;0;14;3.45548;47316
NOR;283.558;319.644;8;11461;99;0;14;3.50348;47316.1
NOR;287.821;319.803;8;11469;99;0;14;3.55147;47316.1
NOR;292.085;319.963;8;11478;99;0;14;3.59946;47316.2
NOR;296.352;320.103;8;11474;99;0;14;3.64745;47316.2
NOR;300.62;320.243;8;11471;99;0;14;3.69545;47316.3
NOR;304.89;320.383;8;11467;99;0;14;3.74344;47316.3
