TLA;SPACE;SPEED;GEAR;RPM;THROTTLE;BRAKE;DRS;TIME_0;TIME
VER;-11;297;8;10796;100;0;12;0;47346.4
VER;-7.03755;297.455;8;10814;100;0;12;0.0479929;47346.5
VER;-3.06905;297.91;8;10832;100;0;12;0.0959858;47346.5
VER;0.905523;298.364;8;10850;100;0;12;0.143979;47346.6
VER;4.88616;298.819;8;10868;100;0;12;0.191972;47346.6
VER;8.87285;299.274;8;10887;100;0;12;0.239964;47346.7
VER;12.8659;299.774;8;10893;100;0;12;0.287957;47346.7
VER;16.8656;300.273;8;10899;100;0;12;0.33595;47346.8
VER;20.872;300.773;8;10905;100;0;12;0.383943;47346.8
VER;24.8851;301.273;8;10911;100;0;12;0.431936;47346.9
VER;28.9048;301.773;8;10917;100;0;12;0.479929;47346.9
VER;32.9307;302.214;8;10935;100;0;12;0.527922;47347
VER;36.9626;302.655;8;10954;100;0;12;0.575914;47347
VER;41.0003;303.096;8;10972;100;0;12;0.623907;47347.1
VER;45.0439;303.537;8;10991;100;0;12;0.6719;47347.1
VER;49.0934;303.978;8;11010;100;0;12;0.719893;47347.1
VER;53.1485;304.37;8;11024;100;0;12;0.767885;47347.2
VER;57.2087;304.762;8;11039;100;0;12;0.815878;47347.2
VER;61.2742;305.154;8;11053;100;0;12;0.863871;47347.3
VER;65.345;305.546;8;11068;100;0;12;0.911864;47347.3
VER;69.4209;305.938;8;11083;100;0;12;0.959857;47347.4
VER;73.5019;306.289;8;11082;100;0;12;1.00785;47347.4
VER;77.5874;306.64;8;11081;100;0;12;1.05584;47347.5
VER;81.6777;306.99;8;11080;100;0;12;1.10384;47347.5
VER;85.7726;307.341;8;11079;100;0;12;1.15183;47347.6
VER;89.8722;307.692;8;11079;100;0;12;1.19982;47347.6
VER;93.9763;308.007;8;11095;100;0;12;1.24781;47347.7
VER;98.0846;308.323;8;11111;100;0;12;1.29581;47347.7
VER;102.197;308.639;8;11127;100;0;12;1.3438;47347.8
VER;106.314;308.955;8;11143;100;0;12;1.39179;47347.8
VER;110.435;309.271;8;11160;100;0;12;1.43979;47347.9
VER;114.559;309.557;8;11160;100;0;12;1.48778;47347.9
VER;118.688;309.843;8;11161;100;0;12;1.53577;47348
VER;122.821;310.13;8;11161;100;0;12;1.58376;47348
VER;126.957;310.416;8;11162;100;0;12;1.63176;47348.1
VER;131.097;310.702;8;11163;100;0;12;1.67975;47348.1
VER;135.932;311.005;8;11183;100;0;12;1.73574;47348.2
VER;140.772;311.307;8;11203;100;0;12;1.79173;47348.2
VER;145.616;311.609;8;11223;100;0;12;1.84772;47348.3
VER;150.465;311.912;8;11243;100;0;12;1.90372;47348.3
VER;155.318;312.214;8;11264;100;0;12;1.95971;47348.4
VER;159.482;312.45;8;11255;100;0;12;2.0077;47348.4
VER;163.649;312.686;8;11246;100;0;12;2.05569;47348.5
VER;167.819;312.921;8;11238;100;0;12;2.10369;47348.5
VER;171.992;313.157;8;11229;100;0;12;2.15168;47348.6
VER;176.169;313.393;8;11221;100;0;12;2.19967;47348.6
VER;180.348;313.61;8;11243;100;0;12;2.24767;47348.7
VER;184.53;313.827;8;11266;100;0;12;2.29566;47348.7
VER;188.716;314.043;8;11289;100;0;12;2.34365;47348.8
VER;192.904;314.26;8;11312;100;0;12;2.39164;47348.8
VER;197.095;314.477;8;11335;100;0;12;2.43964;47348.9
VER;201.288;314.677;8;11344;100;0;12;2.48763;47348.9
VER;205.485;314.877;8;11354;100;0;12;2.53562;47349
VER;209.684;315.077;8;11363;100;0;12;2.58362;47349
VER;213.885;315.276;8;11373;100;0;12;2.63161;47349.1
VER;218.09;315.476;8;11383;100;0;12;2.6796;47349.1
VER;222.297;315.66;8;11387;100;0;12;2.72759;47349.2
VER;226.506;315.844;8;11391;100;0;12;2.77559;47349.2
VER;230.718;316.029;8;11395;100;0;12;2.82358;47349.3
VER;234.932;316.213;8;11399;100;0;12;2.87157;47349.3
VER;239.149;316.397;8;11403;100;0;12;2.91957;47349.3
VER;242.682;316.54;8;11403;100;0;12;2.95976;47349.4
VER;246.217;316.683;8;11403;100;0;12;2.99995;47349.4
