TLA;SPACE;SPEED;GEAR;RPM;THROTTLE;BRAKE;DRS;TIME_0;TIME
LEC;10;280;7;11336;100;0;12;0;49877.9
LEC;13.7341;280.2;7;11352;100;0;11;0.0479931;49878
LEC;17.4709;280.4;7;11369;100;0;11;0.0959862;49878
LEC;21.2104;280.6;7;11385;100;0;10;0.143979;49878.1
LEC;24.9525;280.8;7;11402;100;0;10;0.191972;49878.1
LEC;28.6973;281;7;11419;100;0;10;0.239965;49878.2
LEC;32.4447;281.2;7;11423;100;0;10;0.287958;49878.2
LEC;36.1948;281.4;7;11427;100;0;10;0.335951;49878.3
LEC;39.9476;281.6;7;11432;100;0;10;0.383944;49878.3
LEC;43.703;281.8;7;11436;100;0;10;0.431936;49878.4
LEC;47.4611;282;7;11441;100;0;10;0.479929;49878.4
LEC;51.2213;282.109;7;11441;100;0;9;0.527922;49878.5
LEC;54.9829;282.218;7;11441;100;0;9;0.575915;49878.5
LEC;58.746;282.327;7;11441;100;0;8;0.623908;49878.6
LEC;62.5106;282.435;7;11441;100;0;8;0.671901;49878.6
LEC;66.2766;282.544;7;11441;100;0;8;0.719894;49878.7
LEC;69.4317;282.635;7;11451;99;0;8;0.760088;49878.7
LEC;72.5878;282.727;7;11461;99;0;8;0.800282;49878.7
LEC;75.7449;282.818;7;11472;99;0;8;0.840476;49878.8
LEC;78.9031;282.909;7;11482;99;0;8;0.88067;49878.8
LEC;82.0623;283;7;11493;99;0;8;0.920864;49878.9
LEC;85.8217;281;7;11307;80;20;8;0.968857;49878.9
LEC;89.5545;279;7;11121;61;40;8;1.01685;49879
LEC;93.2606;277;7;10936;42;60;8;1.06484;49879
LEC;96.94;275;7;10750;23;80;8;1.11283;49879.1
LEC;100.593;273;7;10565;5;100;8;1.16083;49879.1
LEC;104.167;263.2;7;10336;4;100;8;1.20882;49879.2
LEC;107.61;253.4;7;10107;3;100;8;1.25681;49879.2
LEC;110.923;243.6;7;9878;2;100;8;1.30481;49879.2
LEC;114.105;233.8;7;9649;1;100;8;1.3528;49879.3
LEC;117.157;224;7;9421;0;100;8;1.40079;49879.3
LEC;120.107;218.6;7;9327;0;100;8;1.44878;49879.4
LEC;122.985;213.2;7;9233;0;100;8;1.49678;49879.4
LEC;125.792;207.8;7;9139;0;100;8;1.54477;49879.5
LEC;128.526;202.4;7;9045;0;100;8;1.59276;49879.5
LEC;131.188;197;7;8951;0;100;8;1.64076;49879.6
LEC;133.785;192.6;7;8944;0;100;8;1.68875;49879.6
LEC;136.323;188.2;7;8937;0;100;8;1.73674;49879.7
LEC;138.803;183.8;7;8930;0;100;8;1.78473;49879.7
LEC;141.224;179.4;7;8923;0;100;8;1.83273;49879.8
LEC;143.586;175;6;8917;0;100;8;1.88072;49879.8
LEC;145.878;168.8;6;8908;0;100;8;1.92871;49879.9
LEC;148.087;162.6;6;8900;0;100;8;1.97671;49879.9
LEC;150.213;156.4;6;8891;0;100;8;2.0247;49880
LEC;152.257;150.2;6;8883;0;100;8;2.07269;49880
LEC;154.218;144;5;8875;1;100;8;2.12068;49880.1
LEC;156.431;140.6;5;8943;1;100;8;2.17668;49880.1
LEC;158.592;137.2;5;9011;1;100;8;2.23267;49880.2
LEC;160.699;133.8;5;9079;1;100;8;2.28866;49880.2
LEC;162.754;130.4;5;9147;1;100;8;2.34465;49880.3
LEC;164.755;127;4;9216;1;100;8;2.40064;49880.3
LEC;166.441;125.8;4;9165;1;80;8;2.44864;49880.4
LEC;168.11;124.6;4;9114;1;60;8;2.49663;49880.4
LEC;169.763;123.4;4;9063;1;39;8;2.54462;49880.5
LEC;171.4;122.2;4;9012;1;19;8;2.59261;49880.5
LEC;173.021;121;3;8961;2;0;8;2.64061;49880.6
LEC;174.626;119.8;3;8895;5;0;8;2.6886;49880.6
LEC;176.215;118.6;3;8830;9;0;8;2.73659;49880.7
