TLA;SPACE;SPEED;GEAR;RPM;THROTTLE;BRAKE;DRS;TIME_0;TIME
NOR;0;277;7;11158;99;0;14;0;50138.2
NOR;3.69544;277.4;7;11195;99;0;14;0.0479927;50138.3
NOR;7.39621;277.8;7;11232;99;0;14;0.0959854;50138.3
NOR;11.1023;278.2;7;11269;99;0;14;0.143978;50138.4
NOR;14.8137;278.6;7;11306;99;0;14;0.191971;50138.4
NOR;18.5305;279;7;11344;99;0;14;0.239964;50138.5
NOR;22.2526;279.4;7;11357;99;0;14;0.287956;50138.5
NOR;25.9801;279.8;7;11370;99;0;14;0.335949;50138.6
NOR;29.7128;280.2;7;11383;99;0;14;0.383942;50138.6
NOR;33.4509;280.6;7;11396;99;0;14;0.431934;50138.7
NOR;37.1943;281;7;11410;99;0;14;0.479927;50138.7
NOR;40.9444;281.6;7;11417;99;0;14;0.52792;50138.8
NOR;44.7025;282.2;7;11425;99;0;14;0.575912;50138.8
NOR;48.4686;282.8;7;11432;99;0;14;0.623905;50138.8
NOR;52.2427;283.4;7;11440;99;0;14;0.671898;50138.9
NOR;56.0248;284;7;11448;99;0;14;0.719891;50138.9
NOR;59.8136;284.4;7;11463;99;0;14;0.767883;50139
NOR;63.6077;284.8;7;11478;99;0;14;0.815876;50139
NOR;67.4071;285.2;7;11493;99;0;14;0.863869;50139.1
NOR;71.2118;285.6;7;11508;99;0;14;0.911861;50139.1
NOR;75.0219;286;7;11523;99;0;14;0.959854;50139.2
NOR;78.8307;285.4;7;11544;79;20;13;1.00785;50139.2
NOR;82.6316;284.8;7;11566;59;40;12;1.05584;50139.3
NOR;86.4244;284.2;7;11588;39;59;11;1.10383;50139.3
NOR;90.2092;283.6;7;11610;19;79;10;1.15183;50139.4
NOR;93.986;283;7;11632;0;100;10;1.19982;50139.4
NOR;97.7228;277.6;7;11324;0;100;9;1.24781;50139.5
NOR;101.388;272.2;7;11016;0;100;9;1.29581;50139.5
NOR;104.98;266.8;7;10708;0;100;8;1.3438;50139.6
NOR;108.501;261.4;7;10400;0;100;8;1.39179;50139.6
NOR;111.95;256;7;10092;0;100;8;1.43979;50139.7
NOR;115.301;246.8;7;9865;0;100;8;1.48778;50139.7
NOR;118.53;237.6;7;9639;0;100;8;1.53577;50139.8
NOR;121.636;228.4;7;9412;0;100;8;1.58376;50139.8
NOR;124.62;219.2;7;9186;0;100;8;1.63176;50139.9
NOR;127.481;210;7;8960;0;100;8;1.67975;50139.9
NOR;130.247;205;7;8842;0;100;8;1.72774;50140
NOR;132.947;200;7;8724;0;100;8;1.77573;50140
NOR;135.58;195;7;8606;0;100;8;1.82373;50140
NOR;138.146;190;7;8488;0;100;8;1.87172;50140.1
NOR;140.646;185;7;8370;0;100;8;1.91971;50140.1
NOR;143.084;180.8;7;8446;0;100;8;1.9677;50140.2
NOR;145.466;176.6;7;8522;0;100;8;2.0157;50140.2
NOR;147.793;172.4;7;8599;0;100;8;2.06369;50140.3
NOR;150.063;168.2;7;8675;0;100;8;2.11168;50140.3
NOR;152.277;164;7;8752;0;100;8;2.15968;50140.4
