TLA;SPACE;SPEED;GEAR;RPM;THROTTLE;BRAKE;DRS;TIME_0;TIME
VER;0;277;7;11177;100;0;12;0;49769.4
VER;3.69411;277.2;7;11201;100;0;12;0.0479927;49769.4
VER;7.39088;277.4;7;11225;100;0;12;0.0959854;49769.5
VER;11.0903;277.6;7;11250;100;0;12;0.143978;49769.5
VER;14.7924;277.8;7;11274;100;0;12;0.191971;49769.6
VER;18.4972;278;7;11299;100;0;12;0.239964;49769.6
VER;22.2087;278.8;7;11317;100;0;12;0.287957;49769.7
VER;25.9308;279.6;7;11335;100;0;12;0.33595;49769.7
VER;29.6636;280.4;7;11354;100;0;12;0.383943;49769.8
VER;33.407;281.2;7;11372;100;0;12;0.431936;49769.8
VER;37.1612;282;7;11391;100;0;12;0.479929;49769.9
VER;40.9233;282.4;7;11393;100;0;12;0.527922;49769.9
VER;44.6907;282.8;7;11395;100;0;12;0.575914;49770
VER;48.4634;283.2;7;11397;100;0;12;0.623907;49770
VER;52.2415;283.6;7;11399;100;0;12;0.6719;49770.1
VER;56.025;284;7;11401;100;0;12;0.719893;49770.1
VER;59.8124;284.2;7;11431;100;0;12;0.767885;49770.2
VER;63.6025;284.4;7;11462;100;0;12;0.815878;49770.2
VER;67.3952;284.6;7;11493;100;0;12;0.863871;49770.2
VER;71.1907;284.8;7;11524;100;0;12;0.911863;49770.3
VER;74.9888;285;7;11555;100;0;12;0.959856;49770.3
VER;78.7709;282.4;7;11415;80;19;11;1.00785;49770.4
VER;82.5183;279.8;7;11275;59;40;10;1.05584;49770.4
VER;86.2311;277.2;7;11136;40;59;9;1.10384;49770.5
VER;89.9093;274.6;7;10996;19;80;8;1.15183;49770.5
VER;93.5527;272;7;10857;0;100;8;1.19982;49770.6
VER;97.1415;266.4;7;10622;0;100;8;1.24781;49770.6
VER;100.656;260.8;7;10387;0;100;8;1.29581;49770.7
VER;104.095;255.2;7;10152;0;100;8;1.3438;49770.7
VER;107.46;249.6;7;9917;0;100;8;1.39179;49770.8
VER;110.75;244;7;9683;0;100;8;1.43979;49770.8
VER;113.964;238.2;7;9662;0;100;8;1.48778;49770.9
VER;117.101;232.4;7;9641;0;100;8;1.53577;49770.9
VER;120.161;226.6;7;9620;0;100;8;1.58376;49771
VER;123.143;220.8;7;9599;0;100;8;1.63176;49771
VER;126.048;215;7;9578;0;100;8;1.67975;49771.1
VER;128.866;207.8;7;9661;0;100;8;1.72774;49771.1
VER;131.588;200.6;7;9744;0;100;8;1.77573;49771.2
VER;134.215;193.4;7;9827;0;100;8;1.82373;49771.2
VER;136.745;186.2;7;9910;0;100;8;1.87172;49771.3
VER;139.179;179;7;9993;0;100;8;1.91971;49771.3
VER;141.538;174.8;7;9916;0;100;8;1.96771;49771.3
VER;143.84;170.6;7;9840;0;100;8;2.0157;49771.4
VER;146.086;166.4;7;9763;0;100;8;2.06369;49771.4
VER;148.277;162.2;7;9687;0;100;8;2.11168;49771.5
VER;150.411;158;5;9611;0;100;8;2.15968;49771.5
VER;152.485;153.2;5;9583;0;100;8;2.20767;49771.6
VER;154.496;148.4;5;9556;0;100;8;2.25566;49771.6
VER;156.442;143.6;5;9529;0;100;8;2.30366;49771.7
VER;158.324;138.8;5;9502;0;100;8;2.35165;49771.7
VER;160.143;134;3;9475;0;100;8;2.39964;49771.8
VER;161.916;132;3;9309;0;100;8;2.44764;49771.8
VER;163.662;130;3;9144;0;100;8;2.49563;49771.9
VER;165.382;128;3;8979;0;100;8;2.54362;49771.9
VER;167.075;126;3;8814;0;100;8;2.59161;49772
VER;168.741;124;3;8649;0;100;8;2.6396;49772
VER;170.385;122.6;3;8586;0;80;8;2.6876;49772.1
VER;172.01;121.2;3;8524;0;59;8;2.73559;49772.1
VER;173.617;119.8;3;8461;0;40;8;2.78358;49772.2
VER;175.205;118.4;3;8399;0;19;8;2.83158;49772.2
VER;176.774;117;3;8337;0;0;8;2.87957;49772.3
VER;178.324;115.6;3;8365;1;0;8;2.92756;49772.3
VER;179.856;114.2;3;8393;2;0;8;2.97556;49772.4
VER;181.369;112.8;3;8421;3;0;8;3.02355;49772.4
VER;182.863;111.4;3;8449;4;0;8;3.07154;49772.5
VER;184.339;110;3;8478;5;0;8;3.11954;49772.5
VER;186.048;109.8;3;8429;9;0;8;3.17553;49772.6
VER;187.755;109.6;3;8381;12;0;8;3.23152;49772.6
VER;189.458;109.4;3;8332;17;0;8;3.28751;49772.7
VER;191.158;109.2;3;8284;20;0;8;3.3435;49772.7
VER;192.855;109;3;8236;25;0;8;3.39949;49772.8
VER;194.312;109.6;3;8335;30;0;8;3.44748;49772.8
VER;195.777;110.2;3;8434;36;0;8;3.49548;49772.9
VER;197.25;110.8;3;8534;42;0;8;3.54347;49772.9
VER;198.731;111.4;3;8633;48;0;8;3.59146;49773
VER;200.22;112;3;8733;54;0;8;3.63946;49773
VER;201.724;113.6;3;8811;58;0;8;3.68745;49773.1
VER;203.249;115.2;3;8890;62;0;8;3.73544;49773.1
VER;204.795;116.8;3;8969;67;0;8;3.78343;49773.2
VER;206.363;118.4;3;9048;71;0;8;3.83143;49773.2
VER;207.952;120;3;9127;76;0;8;3.87942;49773.3
VER;209.573;123.2;3;9453;80;0;8;3.92741;49773.3
VER;211.237;126.4;3;9780;85;0;8;3.97541;49773.4
VER;212.944;129.6;3;10107;90;0;8;4.0234;49773.4
VER;214.693;132.8;3;10434;95;0;8;4.07139;49773.5
VER;216.484;136;3;10761;100;0;8;4.11939;49773.5
VER;218.012;137.6;3;10899;100;0;8;4.15958;49773.5
VER;219.557;139.2;3;11038;100;0;8;4.19977;49773.6
VER;221.12;140.8;3;11177;100;0;8;4.23997;49773.6
VER;222.701;142.4;3;11316;100;0;8;4.28016;49773.7
VER;224.3;144;3;11455;100;0;8;4.32036;49773.7
VER;226.234;146.2;3;11509;100;0;8;4.36835;49773.8
VER;228.198;148.4;3;11563;100;0;8;4.41634;49773.8
VER;230.191;150.6;3;11617;100;0;8;4.46433;49773.8
VER;232.213;152.8;3;11671;100;0;8;4.51233;49773.9
VER;234.265;155;3;11726;100;0;8;4.56032;49773.9
VER;236.35;157.8;3;11826;100;0;8;4.60831;49774
VER;238.472;160.6;3;11927;100;0;8;4.65631;49774
VER;240.632;163.4;3;12027;100;0;8;4.7043;49774.1
VER;242.829;166.2;3;12128;100;0;8;4.75229;49774.1
VER;245.063;169;3;12229;100;0;8;4.80028;49774.2
VER;247.328;170.8;3;11986;100;0;8;4.84828;49774.2
VER;249.617;172.6;3;11743;100;0;8;4.89627;49774.3
VER;251.93;174.4;3;11500;100;0;8;4.94426;49774.3
VER;254.267;176.2;3;11257;100;0;8;4.99225;49774.4
