TLA;SPACE;SPEED;GEAR;RPM;THROTTLE;BRAKE;DRS;TIME_0;TIME
HAM;14;265;7;10844;100;0;8;0;64349.7
HAM;17.5377;265.73;7;10876;100;0;8;0.0479927;64349.8
HAM;21.085;266.459;7;10908;100;0;8;0.0959854;64349.8
HAM;24.6422;267.189;7;10940;100;0;8;0.143978;64349.9
HAM;28.209;267.918;7;10972;100;0;8;0.191971;64349.9
HAM;31.7856;268.648;7;11005;100;0;8;0.239964;64350
HAM;35.3717;269.35;7;11024;100;0;8;0.287956;64350
HAM;38.9671;270.052;7;11043;100;0;8;0.335949;64350.1
HAM;42.572;270.754;7;11062;100;0;8;0.383942;64350.1
HAM;46.1861;271.456;7;11081;100;0;8;0.431934;64350.2
HAM;49.8097;272.157;7;11100;100;0;8;0.479927;64350.2
HAM;53.4419;272.753;7;11114;100;0;8;0.52792;64350.3
HAM;57.082;273.348;7;11128;100;0;8;0.575913;64350.3
HAM;60.7301;273.943;7;11143;100;0;8;0.623906;64350.4
HAM;64.3861;274.539;7;11157;100;0;8;0.671899;64350.4
HAM;68.0501;275.134;7;11172;100;0;8;0.719893;64350.5
HAM;71.7211;275.602;7;11184;100;0;8;0.767885;64350.5
HAM;75.3984;276.071;7;11196;100;0;8;0.815878;64350.6
HAM;79.0819;276.539;7;11208;100;0;8;0.863871;64350.6
HAM;82.7716;277.007;7;11220;100;0;8;0.911863;64350.6
HAM;86.4676;277.476;7;11232;100;0;8;0.959856;64350.7
HAM;90.1692;277.846;7;11255;100;0;8;1.00785;64350.7
HAM;93.8757;278.216;7;11278;100;0;8;1.05584;64350.8
HAM;97.5871;278.585;7;11302;100;0;8;1.10383;64350.8
HAM;101.304;278.955;7;11325;100;0;8;1.15183;64350.9
HAM;105.025;279.325;7;11349;100;0;8;1.19982;64350.9
HAM;108.751;279.645;7;11365;100;0;8;1.24781;64351
HAM;112.481;279.965;7;11381;100;0;8;1.2958;64351
HAM;116.215;280.285;7;11398;100;0;8;1.3438;64351.1
HAM;119.954;280.606;7;11414;100;0;8;1.39179;64351.1
HAM;123.697;280.926;7;11431;100;0;8;1.43978;64351.2
HAM;127.444;281.245;7;11450;100;0;8;1.48778;64351.2
HAM;131.196;281.564;7;11470;100;0;8;1.53577;64351.3
HAM;134.952;281.883;7;11489;100;0;8;1.58376;64351.3
HAM;138.712;282.203;7;11509;100;0;8;1.63176;64351.4
HAM;142.476;282.522;7;11529;100;0;8;1.67975;64351.4
HAM;146.245;282.874;7;11538;100;0;8;1.72774;64351.5
HAM;150.018;283.225;7;11547;100;0;8;1.77573;64351.5
HAM;153.796;283.577;7;11556;100;0;8;1.82373;64351.6
HAM;157.579;283.929;7;11565;100;0;8;1.87172;64351.6
HAM;161.366;284.281;7;11575;100;0;8;1.91971;64351.7
HAM;165.792;284.745;7;11590;100;0;8;1.9757;64351.7
HAM;170.224;285.209;7;11605;100;0;8;2.0317;64351.8
HAM;174.663;285.674;7;11620;100;0;8;2.08769;64351.8
HAM;179.11;286.138;7;11635;100;0;8;2.14368;64351.9
HAM;183.564;286.602;7;11651;100;0;8;2.19967;64351.9
HAM;187.388;287.028;7;11677;100;0;8;2.24766;64352
HAM;191.217;287.454;7;11704;100;0;8;2.29566;64352
HAM;195.052;287.88;7;11730;100;0;8;2.34365;64352.1
HAM;198.893;288.306;7;11757;100;0;8;2.39164;64352.1
HAM;202.739;288.731;7;11784;100;0;8;2.43964;64352.2
HAM;206.591;289.145;7;11795;100;0;8;2.48763;64352.2
HAM;210.449;289.559;7;11806;100;0;8;2.53562;64352.3
HAM;214.312;289.972;7;11818;100;0;8;2.58361;64352.3
HAM;218.18;290.386;7;11829;100;0;8;2.63161;64352.4
HAM;222.054;290.799;7;11841;100;0;8;2.6796;64352.4
HAM;225.302;291.105;7;11844;100;0;8;2.71979;64352.5
HAM;228.554;291.411;7;11847;100;0;8;2.75999;64352.5
HAM;231.81;291.717;7;11850;100;0;8;2.80018;64352.5
HAM;235.068;292.023;7;11853;100;0;8;2.84038;64352.6
HAM;238.331;292.329;7;11856;100;0;8;2.88057;64352.6
HAM;242.88;292.658;7;11869;100;0;8;2.93656;64352.7
HAM;247.434;292.988;7;11882;100;0;8;2.99255;64352.7
HAM;251.993;293.317;7;11896;100;0;8;3.04854;64352.8
HAM;256.558;293.646;7;11909;100;0;8;3.10453;64352.8
HAM;261.128;293.975;7;11923;100;0;8;3.16053;64352.9
HAM;265.048;294.175;7;11931;100;0;8;3.20852;64352.9
HAM;268.971;294.375;7;11939;100;0;8;3.25651;64353
