TLA;SPACE;SPEED;GEAR;RPM;THROTTLE;BRAKE;DRS;TIME_0;TIME
LEC;24;267;7;10867;100;0;8;0;64760.2
LEC;27.5635;267.6;7;10884;100;0;8;0.0479931;64760.2
LEC;31.135;268.2;7;10901;100;0;8;0.0959862;64760.3
LEC;34.7145;268.8;7;10919;100;0;8;0.143979;64760.3
LEC;38.3019;269.4;7;10936;100;0;8;0.191972;64760.4
LEC;41.8974;270;7;10954;100;0;8;0.239965;64760.4
LEC;44.9142;270.4;7;10975;100;0;8;0.280159;64760.5
LEC;47.9354;270.8;7;10996;100;0;8;0.320353;64760.5
LEC;50.9612;271.2;7;11017;100;0;8;0.360547;64760.5
LEC;53.9913;271.6;7;11038;100;0;8;0.400741;64760.6
LEC;57.026;272;7;11060;100;0;8;0.440935;64760.6
LEC;60.6561;272.6;7;11079;99;0;8;0.488928;64760.7
LEC;64.2942;273.2;7;11098;99;0;8;0.536921;64760.7
LEC;67.9403;273.8;7;11117;99;0;8;0.584913;64760.8
LEC;71.5944;274.4;7;11136;99;0;8;0.632906;64760.8
LEC;75.2565;275;7;11156;99;0;8;0.680899;64760.9
LEC;78.9253;275.4;7;11168;99;0;8;0.728891;64760.9
LEC;82.5994;275.8;7;11180;99;0;8;0.776884;64761
LEC;86.2789;276.2;7;11192;99;0;8;0.824877;64761
LEC;89.9636;276.6;7;11204;99;0;8;0.872869;64761.1
LEC;93.6537;277;7;11216;99;0;8;0.920862;64761.1
LEC;97.3492;277.4;7;11232;99;0;8;0.968855;64761.1
LEC;101.05;277.8;7;11248;99;0;8;1.01685;64761.2
LEC;104.756;278.2;7;11264;99;0;8;1.06484;64761.2
LEC;108.468;278.6;7;11280;99;0;8;1.11283;64761.3
LEC;112.184;279;7;11297;100;0;8;1.16083;64761.3
LEC;115.906;279.356;7;11316;99;0;8;1.20882;64761.4
LEC;119.633;279.712;7;11336;99;0;8;1.25681;64761.4
LEC;123.364;280.068;7;11356;99;0;8;1.30481;64761.5
LEC;127.1;280.424;7;11376;99;0;8;1.3528;64761.5
LEC;130.841;280.78;7;11396;99;0;8;1.40079;64761.6
LEC;134.586;281.128;7;11403;99;0;8;1.44878;64761.6
LEC;138.337;281.476;7;11411;99;0;8;1.49678;64761.7
LEC;142.091;281.823;7;11419;99;0;8;1.54477;64761.7
LEC;145.851;282.171;7;11427;99;0;8;1.59276;64761.8
LEC;149.615;282.519;7;11435;99;0;8;1.64076;64761.8
LEC;153.384;282.898;7;11442;99;0;8;1.68875;64761.9
LEC;157.158;283.277;7;11449;99;0;8;1.73674;64761.9
LEC;160.937;283.656;7;11456;99;0;8;1.78473;64762
LEC;164.721;284.035;7;11463;99;0;8;1.83273;64762
LEC;168.51;284.414;7;11470;100;0;8;1.88072;64762.1
LEC;172.304;284.79;7;11490;100;0;8;1.92871;64762.1
LEC;176.103;285.166;7;11511;100;0;8;1.97671;64762.2
LEC;179.907;285.542;7;11531;100;0;8;2.0247;64762.2
LEC;183.716;285.918;7;11552;100;0;8;2.07269;64762.3
LEC;187.53;286.294;7;11573;100;0;8;2.12068;64762.3
LEC;191.349;286.618;7;11588;100;0;8;2.16868;64762.3
LEC;195.172;286.942;7;11604;100;0;8;2.21667;64762.4
LEC;199;287.267;7;11619;100;0;8;2.26466;64762.4
LEC;202.832;287.591;7;11635;100;0;8;2.31266;64762.5
LEC;206.668;287.916;7;11651;100;0;8;2.36065;64762.5
LEC;210.508;288.159;7;11657;100;0;8;2.40864;64762.6
LEC;214.351;288.403;7;11664;100;0;8;2.45663;64762.6
LEC;218.197;288.647;7;11670;100;0;8;2.50463;64762.7
LEC;222.047;288.89;7;11677;100;0;8;2.55262;64762.7
LEC;225.9;289.134;7;11684;100;0;8;2.60061;64762.8
LEC;229.756;289.303;7;11664;100;0;8;2.64861;64762.8
LEC;233.614;289.472;7;11644;100;0;8;2.6966;64762.9
LEC;237.474;289.642;7;11624;100;0;8;2.74459;64762.9
LEC;241.336;289.811;7;11604;100;0;8;2.79258;64763
LEC;245.201;289.98;7;11584;100;0;8;2.84058;64763
LEC;249.068;290.117;7;11347;99;0;8;2.88857;64763.1
LEC;252.936;290.254;7;11111;99;0;8;2.93656;64763.1
LEC;256.807;290.391;7;10874;99;0;8;2.98456;64763.2
LEC;260.679;290.529;7;10638;99;0;8;3.03255;64763.2
LEC;264.553;290.666;8;10402;99;0;8;3.08054;64763.3
LEC;268.429;290.831;8;10414;99;0;8;3.12853;64763.3
LEC;272.307;290.996;8;10426;99;0;8;3.17653;64763.4
LEC;276.188;291.161;8;10438;99;0;8;3.22452;64763.4
LEC;280.07;291.326;8;10450;99;0;8;3.27251;64763.5
LEC;283.955;291.491;8;10463;99;0;8;3.32051;64763.5
LEC;287.843;291.728;8;10469;99;0;8;3.3685;64763.5
LEC;291.734;291.966;8;10475;99;0;8;3.41649;64763.6
LEC;295.627;292.203;8;10481;99;0;8;3.46448;64763.6
LEC;299.525;292.44;8;10487;99;0;8;3.51248;64763.7
LEC;303.425;292.677;8;10493;100;0;8;3.56047;64763.7
LEC;307.328;292.963;8;10512;99;0;8;3.60846;64763.8
LEC;311.236;293.249;8;10531;99;0;8;3.65646;64763.8
LEC;315.147;293.536;8;10550;99;0;8;3.70445;64763.9
LEC;319.062;293.822;8;10569;99;0;8;3.75244;64763.9
LEC;322.981;294.108;8;10588;99;0;8;3.80043;64764
LEC;326.903;294.286;8;10589;99;0;8;3.84843;64764
LEC;330.828;294.465;8;10591;99;0;8;3.89642;64764.1
LEC;334.754;294.643;8;10592;99;0;8;3.94441;64764.1
