TLA;SPACE;SPEED;GEAR;RPM;THROTTLE;BRAKE;DRS;TIME_0;TIME
NOR;23;266;7;10761;99;0;8;0;64339.7
NOR;25.9732;266.6;7;10781;99;0;8;0.0401939;64339.7
NOR;28.9532;267.2;7;10801;99;0;8;0.0803879;64339.7
NOR;31.9398;267.8;7;10821;99;0;8;0.120582;64339.8
NOR;34.9331;268.4;7;10841;99;0;8;0.160776;64339.8
NOR;37.9332;269;7;10862;99;0;8;0.20097;64339.9
NOR;41.522;269.4;7;10884;99;0;8;0.248962;64339.9
NOR;45.1161;269.8;7;10907;99;0;8;0.296955;64340
NOR;48.7155;270.2;7;10929;99;0;8;0.344948;64340
NOR;52.3203;270.6;7;10952;99;0;8;0.392941;64340.1
NOR;55.9304;271;7;10975;99;0;8;0.440933;64340.1
NOR;59.5472;271.6;7;10976;99;0;8;0.488926;64340.1
NOR;63.1721;272.2;7;10977;99;0;8;0.536919;64340.2
NOR;66.8049;272.8;7;10978;99;0;8;0.584912;64340.2
NOR;70.4457;273.4;7;10979;99;0;8;0.632906;64340.3
NOR;74.0945;274;7;10981;99;0;8;0.680899;64340.3
NOR;78.3592;274.4;7;11017;99;0;8;0.73689;64340.4
NOR;82.6301;274.8;7;11053;99;0;8;0.792881;64340.4
NOR;86.9072;275.2;7;11089;99;0;8;0.848873;64340.5
NOR;91.1905;275.6;7;11125;99;0;8;0.904864;64340.6
NOR;95.4801;276;7;11161;99;0;8;0.960855;64340.6
NOR;99.1622;276.4;7;11169;99;0;8;1.00885;64340.7
NOR;102.85;276.8;7;11177;99;0;8;1.05684;64340.7
NOR;106.542;277.2;7;11185;99;0;8;1.10483;64340.8
NOR;110.241;277.6;7;11193;99;0;8;1.15283;64340.8
NOR;113.944;278;7;11202;99;0;8;1.20082;64340.9
NOR;117.652;278.2;7;11209;99;0;8;1.24881;64340.9
NOR;121.362;278.4;7;11216;99;0;8;1.29681;64341
NOR;125.074;278.6;7;11223;99;0;8;1.3448;64341
NOR;128.79;278.8;7;11230;99;0;8;1.39279;64341
NOR;132.508;279;7;11237;99;0;8;1.44078;64341.1
NOR;136.23;279.4;7;11248;99;0;8;1.48878;64341.1
NOR;139.957;279.8;7;11259;99;0;8;1.53677;64341.2
NOR;143.69;280.2;7;11271;99;0;8;1.58476;64341.2
NOR;147.428;280.6;7;11282;99;0;8;1.63276;64341.3
NOR;151.172;281;7;11294;99;0;8;1.68075;64341.3
NOR;154.919;281.2;7;11318;99;0;8;1.72874;64341.4
NOR;158.669;281.4;7;11342;99;0;8;1.77673;64341.4
NOR;162.422;281.6;7;11367;99;0;8;1.82473;64341.5
NOR;166.178;281.8;7;11391;99;0;8;1.87272;64341.5
NOR;169.936;282;7;11416;99;0;8;1.92071;64341.6
