TLA;SPACE;SPEED;GEAR;RPM;THROTTLE;BRAKE;DRS;TIME_0;TIME
VER;0;263;7;10734;100;0;8;0;64764.7
VER;3.51013;263.6;7;10727;100;0;8;0.0479927;64764.7
VER;7.02827;264.2;7;10721;100;0;8;0.0959854;64764.8
VER;10.5544;264.8;7;10715;100;0;8;0.143978;64764.8
VER;14.0885;265.4;7;10709;100;0;8;0.191971;64764.9
VER;17.6307;266;7;10703;100;0;8;0.239964;64764.9
VER;21.1795;266.4;7;10739;100;0;8;0.287957;64765
VER;24.7336;266.8;7;10776;100;0;8;0.33595;64765
VER;28.2931;267.2;7;10812;100;0;8;0.383943;64765.1
VER;31.8579;267.6;7;10849;100;0;8;0.431936;64765.1
VER;35.4281;268;7;10886;100;0;8;0.479929;64765.2
VER;39.0062;268.8;7;10910;100;0;8;0.527922;64765.2
VER;42.595;269.6;7;10934;100;0;8;0.575914;64765.3
VER;46.1945;270.4;7;10958;100;0;8;0.623907;64765.3
VER;49.8046;271.2;7;10982;100;0;8;0.6719;64765.4
VER;53.4254;272;7;11007;100;0;8;0.719893;64765.4
VER;57.0542;272.4;7;11021;100;0;8;0.767886;64765.5
VER;60.6883;272.8;7;11035;100;0;8;0.815879;64765.5
VER;64.3278;273.2;7;11050;100;0;8;0.863872;64765.6
VER;67.9726;273.6;7;11064;100;0;8;0.911865;64765.6
VER;71.6227;274;7;11079;100;0;8;0.959858;64765.7
VER;75.2795;274.6;7;11099;100;0;8;1.00785;64765.7
VER;78.9443;275.2;7;11120;100;0;8;1.05584;64765.8
VER;82.6171;275.8;7;11140;100;0;8;1.10384;64765.8
VER;86.2978;276.4;7;11161;100;0;8;1.15183;64765.9
VER;89.9866;277;7;11182;100;0;8;1.19982;64765.9
VER;93.682;277.4;7;11191;100;0;8;1.24781;64765.9
VER;97.3828;277.8;7;11200;100;0;8;1.29581;64766
VER;101.089;278.2;7;11209;100;0;8;1.3438;64766
VER;104.8;278.6;7;11218;100;0;8;1.39179;64766.1
VER;108.517;279;7;11228;100;0;8;1.43979;64766.1
VER;112.858;279.2;7;11248;100;0;8;1.49578;64766.2
VER;117.202;279.4;7;11268;100;0;8;1.55177;64766.3
VER;121.549;279.6;7;11289;100;0;8;1.60776;64766.3
VER;125.899;279.8;7;11309;100;0;8;1.66375;64766.4
VER;130.253;280;7;11330;100;0;8;1.71974;64766.4
VER;133.381;280.4;7;11338;100;0;8;1.75994;64766.5
VER;136.514;280.8;7;11347;100;0;8;1.80013;64766.5
VER;139.652;281.2;7;11355;100;0;8;1.84033;64766.5
VER;142.793;281.6;7;11364;100;0;8;1.88052;64766.6
VER;145.94;282;7;11373;100;0;8;1.92072;64766.6
VER;149.686;282.4;7;11378;100;0;8;1.96851;64766.7
VER;153.438;282.8;7;11383;100;0;8;2.0163;64766.7
VER;157.195;283.2;7;11388;100;0;8;2.06409;64766.8
VER;160.957;283.6;7;11393;100;0;8;2.11189;64766.8
VER;164.725;284;7;11399;100;0;8;2.15968;64766.9
VER;168.53;284.4;7;11402;100;0;8;2.20787;64766.9
VER;172.339;284.8;7;11405;100;0;8;2.25606;64767
VER;176.155;285.2;7;11409;100;0;8;2.30426;64767
VER;179.975;285.6;7;11412;100;0;8;2.35245;64767.1
VER;183.801;286;7;11416;100;0;8;2.40064;64767.1
VER;187.599;286.2;7;11430;100;0;8;2.44844;64767.1
VER;191.4;286.4;7;11444;100;0;8;2.49623;64767.2
VER;195.204;286.6;7;11459;100;0;8;2.54402;64767.2
VER;199.01;286.8;7;11473;100;0;8;2.59181;64767.3
VER;202.819;287;7;11488;100;0;8;2.63961;64767.3
VER;206.025;287.4;7;11520;100;0;8;2.6798;64767.4
VER;209.236;287.8;7;11552;100;0;8;2.72;64767.4
VER;212.452;288.2;7;11584;100;0;8;2.76019;64767.5
VER;215.672;288.6;7;11616;100;0;8;2.80038;64767.5
VER;218.897;289;7;11649;100;0;8;2.84058;64767.5
VER;222.751;289.2;7;11662;100;0;8;2.88857;64767.6
VER;226.607;289.4;7;11675;100;0;8;2.93656;64767.6
VER;230.467;289.6;7;11688;100;0;8;2.98456;64767.7
VER;234.329;289.8;7;11701;100;0;8;3.03255;64767.7
VER;238.194;290;7;11715;100;0;8;3.08054;64767.8
VER;242.061;290.2;7;11491;100;0;8;3.12853;64767.8
VER;245.931;290.4;7;11267;100;0;8;3.17653;64767.9
VER;249.804;290.6;7;11043;100;0;8;3.22452;64767.9
VER;253.679;290.8;7;10819;100;0;8;3.27251;64768
VER;257.557;291;7;10595;100;0;8;3.32051;64768
VER;261.438;291.2;7;10554;100;0;8;3.3685;64768.1
VER;265.322;291.4;7;10513;100;0;8;3.41649;64768.1
VER;269.208;291.6;7;10472;100;0;8;3.46448;64768.2
VER;273.096;291.8;7;10431;100;0;8;3.51248;64768.2
VER;276.988;292;8;10391;100;0;8;3.56047;64768.3
VER;280.883;292.4;8;10397;100;0;8;3.60846;64768.3
VER;284.784;292.8;8;10403;100;0;8;3.65646;64768.4
VER;288.69;293.2;8;10409;100;0;8;3.70445;64768.4
VER;292.601;293.6;8;10415;100;0;8;3.75244;64768.5
VER;296.518;294;8;10421;100;0;8;3.80043;64768.5
VER;300.438;294;8;10448;100;0;8;3.84843;64768.5
VER;304.357;294;8;10476;100;0;8;3.89642;64768.6
VER;308.276;294;8;10503;100;0;8;3.94441;64768.6
VER;312.196;294;8;10531;100;0;8;3.9924;64768.7
VER;316.115;294;8;10559;100;0;8;4.0404;64768.7
VER;320.035;294;8;10571;100;0;8;4.08839;64768.8
VER;323.954;294;8;10584;100;0;8;4.13638;64768.8
VER;327.874;294;8;10596;100;0;8;4.18438;64768.9
VER;331.793;294;8;10609;100;0;8;4.23237;64768.9
VER;335.712;294;8;10622;100;0;8;4.28036;64769
VER;339.632;294;8;10629;100;0;8;4.32836;64769
VER;343.551;294;8;10637;100;0;8;4.37635;64769.1
VER;347.471;294;8;10645;100;0;8;4.42434;64769.1
VER;351.39;294;8;10653;100;0;8;4.47233;64769.2
VER;355.309;294;8;10661;100;0;8;4.52033;64769.2
VER;359.227;293.8;8;10639;100;0;8;4.56832;64769.3
VER;363.143;293.6;8;10617;100;0;8;4.61631;64769.3
VER;367.056;293.4;8;10596;100;0;8;4.6643;64769.4
VER;370.966;293.2;8;10574;100;0;8;4.7123;64769.4
